"","ResponseId","PANAS_1","PANAS_2","PANAS_3","PANAS_4","PANAS_5","PANAS_6","PANAS_7","PANAS_8","PANAS_9","PANAS_10","PANAS_11","PANAS_12","PANAS_13","PANAS_14","PANAS_15","PANAS_16","PANAS_17","PANAS_18","PANAS_19","PANAS_20","HEX_O_1","HEX_C_2","HEX_A_3","HEX_X_4","HEX_E_5","HEX_HH_6","HEX_O_7","HEX_C_8","HEX_A_9","HEX_X_10","HEX_E_11","HEX_HH_12","HEX_O_13","HEX_C_14","HEX_A_15","HEX_X_16","HEX_E_17","HEX_HH_18","HEX_O_19","HEX_C_20","HEX_A_21","HEX_X_22","HEX_E_23","HEX_HH_24","HEX_O_25","HEX_C_26","HEX_A_27","HEX_X_28","HEX_E_29","HEX_HH_30","HEX_O_31","HEX_C_32","HEX_A_33","HEX_X_34","HEX_E_35","HEX_HH_36","HEX_O_37","HEX_C_38","HEX_A_39","HEX_X_40","HEX_E_41","HEX_HH_42","HEX_O_43","HEX_C_44","HEX_A_45","HEX_X_46","HEX_E_47","HEX_HH_48","HEX_O_49","HEX_C_50","HEX_A_51","HEX_X_52","HEX_E_53","HEX_HH_54","HEX_O_55","HEX_C_56","HEX_A_57","HEX_X_58","HEX_E_59","HEX_HH_60","BFI_X_1","BFI_A_2","BFI_C_3","BFI_E_4","BFI_O_5","BFI_X_6","BFI_A_7","BFI_C_8","BFI_E_9","BFI_O_10","BFI_X_11","BFI_A_12","BFI_C_13","BFI_E_14","BFI_O_15","BFI_X_16","BFI_A_17","BFI_C_18","BFI_E_19","BFI_O_20","BFI_X_21","BFI_A_22","BFI_C_23","BFI_E_24","BFI_O_25","BFI_X_26","BFI_A_27","BFI_C_28","BFI_E_29","BFI_O_30","BFI_X_31","BFI_A_32","BFI_C_33","BFI_E_34","BFI_O_35","BFI_X_36","BFI_A_37","BFI_C_38","BFI_E_39","BFI_O_40","BFI_X_41","BFI_A_42","BFI_C_43","BFI_E_44","BFI_O_45","BFI_X_46","BFI_A_47","BFI_C_48","BFI_E_49","BFI_O_50","BFI_X_51","BFI_A_52","BFI_C_53","BFI_E_54","BFI_O_55","BFI_X_56","BFI_A_57","BFI_C_58","BFI_E_59","BFI_O_60","BFAS_Vol_1","BFAS_Vol_2","BFAS_Vol_3","BFAS_Vol_4","BFAS_With_1","BFAS_With_2","BFAS_With_3","BFAS_With_4","BFAS_Comp_1","BFAS_Comp_2","BFAS_Comp_3","BFAS_Comp_4","BFAS_Pol_1","BFAS_Pol_2","BFAS_Pol_3","BFAS_Pol_4","BFAS_Ind_1","BFAS_Ind_2","BFAS_Ind_3","BFAS_Ind_4","BFAS_Ord_1","BFAS_Ord_2","BFAS_Ord_3","BFAS_Ord_4","BFAS_Enth_1","BFAS_Enth_2","BFAS_Enth_3","BFAS_Enth_4","BFAS_Ass_1","BFAS_Ass_2","BFAS_Ass_3","BFAS_Ass_4","BFAS_Int_1","BFAS_Int_2","BFAS_Int_3","BFAS_Int_4","BFAS_Open_1","BFAS_Open_2","BFAS_Open_3","BFAS_Open_4","Eth","Gen","Emp","WorkHrs","Edu","AttnCheck","BFAS_Vol","BFAS_With","BFAS_Comp","BFAS_Pol","BFAS_Ind","BFAS_Ord","BFAS_Enth","BFAS_Assert","BFAS_Intel","BFAS_Open","HEX_HH","HEX_E","HEX_X","HEX_A","HEX_C","HEX_O","BFI_X","BFI_A","BFI_C","BFI_E","BFI_O","PANAS_Pos","PANAS_Neg"
"98","R_2S313R1ogU2ze0g",3,1,2,1,3,1,1,1,2,2,1,4,1,3,1,3,4,1,3,1,4,4,4,3,3,5,3,4,4,3,4,4,5,4,4,2,2,4,4,4,4,3,3,5,2,4,4,4,3,5,4,4,4,2,4,4,4,4,4,2,2,4,4,4,3,1,4,5,5,3,4,2,3,5,4,4,4,3,3,5,2,4,4,2,5,2,5,4,2,4,3,4,4,2,4,1,5,4,4,5,3,5,4,3,4,4,4,3,2,5,1,5,4,3,5,4,5,4,3,4,3,4,4,2,4,1,4,4,3,2,4,5,4,3,4,3,4,4,2,4,2,2,2,2,3,4,3,2,5,4,4,4,5,5,4,5,4,4,4,2,4,4,3,3,3,2,4,2,4,4,4,4,4,4,4,4,4,3,4,4,6,1,1,40,2,0,2,3,4.25,4.75,3.5,3.5,2.75,4,4,3.75,4.6,3.1,2.5,3.9,3.9,3.9,2.58333333333333,4.5,3.91666666666667,2.58333333333333,4.16666666666667,2.9,1
"99","R_3IblExLo7dprBDv",4,1,5,1,1,1,1,1,4,3,1,5,1,4,1,4,5,1,4,1,1,4,3,3,4,3,4,4,2,4,3,2,1,2,2,4,3,5,1,2,3,3,1,2,1,3,4,2,3,2,2,2,4,2,1,5,4,5,5,4,2,2,3,2,4,2,4,2,1,4,2,3,2,4,2,2,2,3,2,2,2,4,2,2,2,4,4,4,2,4,2,2,5,3,4,2,3,4,4,4,4,4,4,3,2,2,4,4,2,4,2,4,4,2,1,4,3,5,2,4,3,4,4,2,5,3,3,4,4,3,2,4,4,2,3,2,4,2,4,4,3,2,2,3,2,2,2,4,4,4,4,2,4,2,2,4,2,4,4,2,4,4,2,4,3,3,4,2,3,2,3,4,4,2,4,2,4,4,1,2,2,1,1,40,6,0,2.5,2.5,3.5,3,3,3.5,3,3,3,2.75,2.9,2.5,3,3.1,3,2,2.66666666666667,3.58333333333333,3.83333333333333,2.66666666666667,3.33333333333333,3.9,1
"100","R_1In2bomB4YetPmv",5,1,3,1,4,1,1,1,5,3,1,5,1,3,1,5,5,1,4,1,5,4,4,4,5,5,5,5,5,4,2,5,5,4,4,4,4,4,4,4,5,4,3,5,5,4,4,4,4,5,5,5,5,4,2,5,4,5,3,4,3,3,3,4,4,4,4,4,3,2,5,4,2,5,4,5,5,4,5,5,4,4,5,2,4,2,4,5,2,5,4,5,5,1,3,4,4,5,1,5,3,5,5,2,5,4,4,4,1,4,4,4,5,2,5,3,5,4,2,4,4,5,5,2,5,4,5,5,2,5,4,5,5,2,5,5,5,5,1,4,1,2,1,1,2,2,2,1,4,4,4,4,5,5,4,5,5,5,5,5,5,4,5,4,4,4,4,5,3,3,4,4,4,4,4,4,4,5,3,5,6,1,1,42,3,0,1.25,1.75,4,4.75,5,4.5,4.25,3.5,4,4.25,4.6,3.4,4,4.4,4.2,4.3,3.75,4.58333333333333,4.83333333333333,1.66666666666667,4.5,4.2,1
"101","R_3Ph6lsIzbQVSyce",5,2,4,4,2,4,2,2,4,4,4,5,4,4,4,4,5,4,2,2,5,4,2,4,4,2,4,5,2,2,5,5,5,5,2,2,4,4,4,4,2,2,5,5,5,4,2,4,4,2,4,5,2,2,5,4,4,4,4,2,4,4,4,4,2,2,4,4,5,4,2,4,4,2,4,4,4,2,4,5,2,4,4,4,5,1,4,4,4,5,4,2,4,4,4,2,5,4,5,5,1,5,4,4,4,2,2,4,4,5,2,2,2,5,5,2,4,4,4,4,2,2,4,4,4,1,4,4,5,5,1,4,4,4,4,2,2,4,4,4,4,5,4,4,4,5,4,4,5,4,5,5,4,5,4,5,4,4,4,4,4,2,4,4,2,4,2,2,2,2,1,2,4,4,4,4,5,4,4,5,6,2,4,0,3,0,4.25,4.25,4.75,4.5,4,3.5,2.5,1.75,4,4.5,3.7,4.3,2.6,2.4,4.3,4.4,1.83333333333333,3.33333333333333,3.83333333333333,4.25,4.5,3.9,3.2
"102","R_2tul0bzIrhhG4Gv",5,1,4,1,5,1,1,1,5,5,1,5,1,5,1,5,5,1,5,1,4,5,5,5,5,5,1,1,4,3,5,5,2,2,4,3,1,1,1,2,5,5,3,1,1,3,5,3,5,2,1,3,4,4,2,1,3,4,3,5,2,1,3,3,4,1,1,5,1,1,5,3,1,4,1,5,5,1,5,5,2,5,4,1,4,1,5,4,1,2,3,5,5,1,1,1,5,3,1,3,1,5,3,2,2,2,5,5,1,5,2,1,3,4,4,2,5,4,2,3,3,5,5,2,5,2,5,5,2,2,3,5,1,2,3,3,5,5,1,1,1,2,1,1,2,5,2,1,4,1,4,4,5,5,5,3,4,5,4,4,3,3,2,3,4,2,5,2,1,2,3,2,5,5,3,1,4,3,2,5,6,2,5,0,2,0,1.25,2.5,3.25,4.5,4.25,2.75,3.25,2,3.5,3.5,3,3,3.3,4.4,2.9,1.8,2.08333333333333,4.66666666666667,3.91666666666667,1.66666666666667,2.91666666666667,4.9,1
"103","R_VVCWnJi9SyfqSnD",4,1,4,1,5,1,1,1,4,3,1,5,1,4,1,5,5,1,5,1,5,5,3,5,3,5,4,5,5,4,1,5,4,5,4,4,1,3,4,4,5,4,2,5,4,5,3,4,3,5,4,5,3,4,1,5,5,5,4,3,1,2,3,5,5,5,4,5,5,5,3,5,1,5,4,4,5,3,2,5,4,4,5,1,5,4,5,5,1,5,5,5,5,1,5,4,2,4,1,4,4,5,5,1,5,5,3,5,1,5,4,5,5,1,5,4,4,5,1,4,5,3,5,1,5,4,4,5,1,5,4,5,5,1,5,4,3,5,1,4,1,1,1,1,2,1,1,1,3,5,5,4,5,5,3,5,5,5,5,5,4,5,4,4,3,3,4,5,5,4,4,4,5,5,5,5,4,4,3,4,6,1,1,39,5,0,1,1.25,4.25,4.5,5,4.25,3.75,4.25,5,3.75,4.5,1.9,4.1,4,4.8,4.2,4.25,4,4.91666666666667,1,4.75,4.4,1
"104","R_322O3rzFri8ZDxK",5,1,4,1,5,1,1,1,4,5,1,5,1,5,1,5,5,1,5,1,5,4,4,5,2,4,4,4,4,4,4,2,5,5,4,2,2,4,5,4,4,5,2,5,4,5,5,5,1,2,5,5,4,4,1,2,5,5,4,4,2,4,5,5,4,4,4,5,5,4,4,5,4,2,5,4,5,4,4,2,4,4,5,2,5,4,4,5,1,5,5,5,4,1,5,4,5,4,2,4,4,5,5,1,5,5,4,4,2,5,4,5,4,1,4,4,4,4,1,5,4,4,4,2,5,4,4,5,2,5,4,5,5,1,5,4,4,4,2,5,2,2,2,2,2,1,2,1,4,4,4,4,5,4,4,4,5,5,5,4,4,4,2,2,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,6,1,1,55,5,0,2,1.5,4,4.25,4.75,3,4,4.25,4,4,3.2,2.6,4.2,4.2,4.5,4.8,4.16666666666667,4.41666666666667,4.41666666666667,1.5,4.83333333333333,4.8,1
"105","R_Z9oSBzqce13FOTf",5,1,4,1,4,1,1,1,4,5,1,5,1,4,1,5,5,1,4,1,5,5,5,5,2,5,5,5,5,4,1,5,5,5,5,3,3,5,5,4,5,5,5,5,5,5,5,5,2,5,5,5,5,3,1,5,5,5,4,4,3,5,5,5,5,5,5,5,5,4,5,5,2,5,5,5,5,2,5,5,4,5,5,1,5,3,5,5,1,5,5,5,5,1,5,4,5,4,1,5,1,5,5,1,5,5,5,5,1,5,3,5,4,1,5,3,5,5,1,5,4,5,5,1,5,4,5,5,1,5,3,5,5,1,5,4,5,5,1,5,1,1,1,1,1,1,3,2,5,5,5,5,5,5,5,5,5,5,5,5,4,5,2,3,5,5,4,5,3,3,3,3,5,5,4,5,5,5,5,5,6,1,1,45,5,0,1,1.75,5,5,5,3.5,4.75,3,4.75,5,5,2.9,4.1,4.9,4.8,5,3.58333333333333,5,4.83333333333333,1,5,4.5,1
"106","R_3yE6JXqHapaNJMB",4,1,2,1,4,1,1,1,3,4,1,4,1,4,1,5,5,1,4,1,2,5,4,4,4,5,4,5,5,2,2,5,1,5,4,1,2,2,4,5,5,5,2,5,4,4,4,4,4,5,5,5,4,1,2,4,2,4,5,1,2,2,3,5,4,2,4,5,1,2,4,5,2,5,5,5,4,1,2,5,1,4,4,2,2,1,5,5,1,5,4,4,4,1,4,1,5,5,2,2,1,5,4,1,5,4,5,4,1,1,1,4,4,1,2,2,5,5,1,4,2,4,4,1,4,1,5,5,2,2,1,5,5,1,4,2,4,5,1,2,1,2,1,1,1,2,4,1,4,4,5,4,5,5,4,5,4,5,4,4,5,4,4,5,2,4,4,2,1,2,1,1,4,4,4,5,4,2,2,2,6,1,1,40,4,0,1.25,2,4.25,4.75,4.25,4.5,3,1.25,4.25,2.5,4.3,2.6,2.6,4.3,4.5,3.1,1.75,4.58333333333333,4.5,1.25,3.08333333333333,3.9,1
"107","R_1mlVnCoIgHApmyf",4,1,2,1,3,1,2,1,2,3,2,4,1,2,4,4,4,4,3,1,2,5,4,3,5,2,4,5,4,1,5,5,1,5,4,1,4,1,4,5,5,2,5,4,1,4,4,4,5,2,4,4,4,1,5,4,1,5,4,2,3,3,3,5,4,2,4,4,1,4,4,4,4,2,4,5,4,1,5,5,1,4,4,2,1,1,4,4,4,4,1,4,4,2,1,1,5,4,4,1,1,5,4,3,4,1,4,4,2,1,1,4,4,5,2,1,4,4,3,3,2,4,5,1,1,1,4,4,5,1,1,4,5,4,1,2,4,4,2,2,2,2,2,2,4,5,5,4,4,4,4,4,4,5,4,5,4,4,4,4,5,4,3,5,1,1,2,2,1,1,1,3,2,1,3,4,4,4,4,1,6,2,1,40,5,0,2,4.5,4,4.5,4,4.25,1.5,1.5,2.5,3.25,3.2,4.5,2.1,4.1,4.7,2.5,1.16666666666667,4.16666666666667,4.16666666666667,3.08333333333333,1.83333333333333,3.1,1.8
"108","R_3fuX1jL3kzioYVX",5,2,4,1,4,2,2,1,4,4,4,5,1,4,2,5,5,1,3,2,5,5,4,4,4,3,5,5,4,4,5,2,5,5,2,1,4,3,5,3,5,5,3,5,5,5,4,3,5,4,5,4,4,2,5,2,5,4,4,4,3,5,4,5,4,4,5,5,5,4,4,5,5,3,5,5,2,2,4,2,3,5,4,3,5,3,5,4,3,5,5,4,5,2,4,2,5,5,4,5,2,4,5,2,5,3,4,3,3,5,1,4,5,5,5,2,4,5,1,5,3,2,4,2,5,4,5,5,5,5,2,5,5,1,4,4,2,4,2,4,2,4,3,4,1,5,4,4,5,5,5,5,4,5,4,5,4,5,4,3,5,5,5,4,2,3,5,4,4,2,3,3,4,4,4,5,5,4,4,5,6,2,4,0,3,0,3.25,3.5,5,4.5,4,4.75,3.5,3,4.25,4.5,3.4,4.3,3.4,3.7,4.5,4.9,2.83333333333333,4.08333333333333,4.5,2.75,4.75,4.3,1.8
"109","R_1FE2rgmOC0Xf4cZ",5,2,5,2,4,3,2,3,4,4,3,4,2,4,4,4,4,3,4,2,5,5,3,3,1,2,3,5,1,4,4,5,5,5,3,1,4,4,4,4,5,4,4,5,5,4,3,4,1,2,4,5,2,2,4,4,5,4,4,4,4,1,4,4,4,4,5,4,5,5,2,4,3,2,2,4,3,4,4,5,4,4,4,3,5,4,4,3,2,5,5,1,5,2,5,4,4,4,3,5,4,4,4,2,3,3,4,3,2,5,2,4,3,5,5,4,2,4,1,4,3,1,5,2,5,4,4,4,4,5,4,4,5,1,5,4,2,3,3,4,1,3,3,4,2,5,3,3,4,4,4,4,3,5,3,5,3,4,4,4,4,3,4,4,4,4,4,4,4,4,5,4,3,4,4,4,4,5,3,4,6,2,1,40,3,0,2.75,3.25,4,4,3.75,3.75,4,4.25,3.75,4,3.4,3.4,3.4,3,4.5,4.2,3.75,3.16666666666667,3.91666666666667,2.5,4.66666666666667,4.2,2.6
"110","R_sQZdBzABAQR3gB3",5,2,3,1,1,1,1,1,4,5,2,4,1,5,4,5,4,2,4,1,5,4,3,5,5,3,5,5,4,5,4,1,5,5,4,4,2,3,5,3,5,5,4,5,5,4,3,4,3,5,2,5,4,3,5,3,4,3,4,3,2,3,5,5,1,5,5,5,5,2,3,5,4,4,5,4,3,3,5,2,4,5,5,3,5,4,5,5,2,5,5,5,4,3,3,5,5,4,2,5,3,5,5,1,5,5,4,5,2,5,4,4,4,4,5,5,5,5,1,4,4,3,5,3,5,4,5,5,4,5,5,4,5,1,5,4,4,4,1,3,1,4,1,3,5,4,4,1,4,5,4,4,5,5,3,5,4,5,5,3,4,3,5,3,4,5,4,5,4,4,5,4,4,5,5,5,5,5,5,5,6,2,2,30,5,0,2.25,3.5,4.25,4.5,4.25,3.75,4.5,4.25,4.75,5,3.4,3.9,4.2,3.4,4,4.6,4.33333333333333,4.5,4.66666666666667,2.25,4.58333333333333,4,1.6
"111","R_1Nt5gbDzgfFnYlk",4,1,2,1,4,1,1,1,2,2,1,4,1,2,1,4,4,1,4,1,3,4,4,5,5,2,4,4,5,4,3,5,5,5,2,2,4,4,1,2,3,5,5,5,1,3,5,4,3,3,5,5,2,4,2,4,5,5,1,4,4,3,1,2,3,3,5,5,5,4,4,5,3,4,3,3,2,3,4,4,4,5,2,4,5,4,5,2,3,5,5,5,4,1,3,4,5,3,2,5,4,3,2,2,4,3,5,2,4,5,4,5,3,2,5,3,5,4,2,4,3,5,5,3,2,4,5,2,3,1,2,5,3,1,4,4,4,2,3,4,3,4,1,4,5,2,4,3,5,5,5,5,5,5,4,5,1,2,2,3,3,3,3,5,5,5,5,4,4,2,2,3,4,5,4,5,5,5,5,5,6,2,1,35,3,0,3,3.5,5,4.75,2,3.5,4.75,2.75,4.5,5,3.9,3.8,3.9,3.1,3.7,3.3,3.66666666666667,4.75,2.83333333333333,2.5,3.91666666666667,3.2,1
"112","R_9yTgIjaWs5Uaxm9",4,2,3,2,3,1,1,1,3,3,2,3,1,4,4,4,4,2,3,2,5,4,5,3,2,5,5,3,5,3,5,5,5,5,5,4,4,5,5,5,5,3,4,5,5,1,5,3,2,5,5,5,5,1,4,5,5,4,3,1,3,4,4,5,5,2,5,5,4,1,5,4,3,5,5,5,2,1,5,5,1,5,1,3,5,1,5,2,3,5,5,5,4,1,3,1,5,3,3,5,1,5,2,3,5,1,5,2,3,5,1,4,1,5,5,1,5,2,4,3,1,5,4,2,5,3,5,3,5,5,1,5,3,4,5,1,4,5,2,3,1,2,1,4,5,4,3,2,5,4,5,4,4,5,5,5,2,3,3,3,3,1,3,3,3,5,4,4,2,2,3,2,4,5,3,3,4,4,5,5,2,2,2,20,6,0,2,3.5,4.5,4.75,2.75,2.5,4,2.25,3.75,4.5,4.9,3.7,2.5,4.5,3.8,4.8,1.5,4.83333333333333,2.66666666666667,3.16666666666667,4.5,3.4,1.8
"113","R_eG1BVoQYOfcE2Cl",5,1,5,1,5,1,1,1,5,5,1,5,1,5,1,5,5,1,5,1,5,1,1,5,2,5,5,1,5,5,3,5,1,5,5,5,2,1,5,5,5,1,1,5,1,5,5,5,1,5,5,5,1,1,5,5,1,5,4,4,5,5,1,5,1,5,1,5,5,1,1,5,5,5,5,4,5,1,5,5,3,1,5,1,5,4,5,5,1,1,5,5,5,1,5,2,5,1,1,4,1,5,5,1,5,5,1,5,5,5,5,1,4,1,5,5,5,5,1,5,4,5,5,1,5,1,5,5,2,5,5,5,5,1,5,5,5,5,1,5,1,5,1,1,5,1,5,1,1,1,5,1,5,5,1,5,5,5,5,5,3,5,5,4,5,5,4,5,5,5,5,5,1,5,5,5,5,5,5,5,6,2,1,40,2,0,2,3,2,4,5,4.25,4.75,5,4,5,4.6,3,3.7,3.3,3.7,3.4,3.75,4,4.58333333333333,1.41666666666667,4.58333333333333,5,1
"115","R_1PdemXP7fbRj73s",4,4,2,2,1,1,1,1,2,1,4,2,1,2,1,4,4,1,3,1,5,5,2,2,5,2,5,4,4,2,5,2,5,5,3,1,4,1,4,4,4,1,1,3,3,2,2,2,5,3,4,2,2,1,4,3,5,5,4,1,4,2,4,4,5,1,3,2,1,4,4,2,3,4,5,4,2,1,2,5,1,4,2,3,5,1,4,2,5,5,2,2,4,4,5,1,4,5,2,5,1,4,1,4,2,1,2,2,4,5,1,4,4,4,5,1,5,4,4,5,2,4,4,4,5,1,4,5,5,4,1,4,4,4,5,2,4,2,4,5,2,2,3,4,5,4,5,2,4,2,2,2,5,4,4,5,2,1,4,1,5,5,4,4,1,1,1,2,2,1,1,1,3,3,4,2,5,5,5,4,6,1,2,25,5,0,2.75,4,2.5,4.5,2,4.5,1.25,1.25,3,4.75,2.7,3.6,1.4,3.2,3.9,4.1,1.25,3.75,3.25,3.91666666666667,4.66666666666667,2.5,1.7
"116","R_1hVUMjbOOIcKoAy",5,1,5,1,5,1,1,1,5,5,1,5,1,5,1,5,5,1,5,1,5,4,5,4,3,1,4,4,5,5,1,5,4,5,5,4,1,4,5,3,5,4,3,3,1,5,5,5,1,5,5,5,4,4,1,5,4,4,4,4,5,5,4,5,5,5,5,4,4,4,4,5,1,1,5,2,5,4,5,5,5,5,5,1,3,4,5,5,1,5,5,5,5,1,5,5,5,5,1,4,4,5,5,1,5,4,5,5,1,5,5,5,5,1,5,5,5,5,1,3,5,5,5,1,5,5,5,5,5,5,4,5,5,1,5,5,5,5,1,5,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,6,2,1,40,3,0,1,1,5,5,5,4.5,5,4.75,5,4.75,3.8,2.6,4.4,4.7,4.1,4.1,4.66666666666667,5,5,1.33333333333333,4.58333333333333,5,1
"117","R_O8cfskkyPBa5QNH",5,1,4,1,5,1,1,1,4,5,1,5,1,5,4,5,5,4,5,1,5,1,5,5,4,5,5,5,5,4,4,2,4,5,5,1,1,4,5,2,5,4,5,5,5,5,5,5,5,5,4,5,5,1,4,2,5,4,5,1,1,2,5,5,5,4,4,5,5,1,5,5,3,4,5,1,5,2,4,2,1,5,5,2,5,1,5,5,1,5,5,5,4,1,4,1,5,2,4,5,4,5,5,2,5,4,5,5,2,5,1,5,4,4,5,5,5,5,1,5,4,2,5,3,5,3,5,5,4,5,5,5,5,1,5,4,4,5,1,4,1,1,1,1,1,4,4,1,5,5,4,4,5,5,5,5,5,5,5,5,1,4,1,1,1,1,1,5,4,5,5,5,5,5,5,5,4,5,4,5,6,2,1,40,4,0,1,2.5,4.5,5,5,1.75,2,4.75,5,4.5,3.6,3.5,3.2,5,3.4,4.8,3.16666666666667,4.66666666666667,4.58333333333333,2.16666666666667,4.83333333333333,4.8,1.6
"121","R_30oRF9DGK5nVUcp",4,2,2,1,3,1,1,1,3,4,3,5,1,2,2,5,5,2,4,1,4,4,2,2,4,4,4,4,3,4,5,5,4,5,2,2,2,2,4,4,4,2,2,4,4,4,2,4,4,4,4,4,2,3,5,5,3,5,4,4,2,2,4,4,3,4,4,4,2,4,2,4,4,4,5,4,4,4,4,5,4,4,4,2,4,4,4,5,4,4,2,2,5,2,4,3,4,5,4,4,4,4,4,2,5,4,4,5,2,4,4,4,4,5,4,4,4,5,2,4,3,2,5,1,5,4,4,5,5,4,4,4,5,2,5,3,2,4,2,4,2,2,2,2,2,5,3,2,4,4,4,4,4,3,4,5,5,5,5,4,5,4,4,4,4,2,4,4,5,4,4,4,4,5,4,5,4,4,2,2,6,1,1,50,5,0,2,3,4,4,4.75,4.25,3.5,4.25,4.5,3,3.9,3.6,3.3,2.8,4.2,3.8,3.58333333333333,3.5,4.66666666666667,2.75,4.25,3.7,1.5
"122","R_3ha0O67zw3LBiHW",5,1,4,1,4,1,1,1,5,5,1,5,1,4,1,5,5,1,5,1,5,4,5,5,3,5,4,4,5,4,1,3,4,2,5,3,2,5,5,4,5,5,3,5,4,5,5,5,2,5,4,5,4,2,1,4,4,4,5,3,2,5,4,5,4,4,3,5,4,2,4,5,1,5,5,4,4,2,3,3,3,5,4,1,4,2,5,4,2,5,3,5,5,1,4,1,5,3,1,4,2,5,3,1,5,4,5,5,1,4,2,5,4,1,4,3,4,5,1,5,4,5,5,1,4,2,5,4,1,2,4,5,5,1,5,4,4,5,1,4,1,5,1,1,2,1,3,1,4,5,4,4,4,4,4,4,5,5,5,5,3,4,2,2,4,3,4,5,2,4,4,3,5,5,5,5,5,5,2,4,6,1,1,40,5,0,2,1.75,4.25,4,5,2.75,4,3.25,5,4,4.5,2.1,3.8,4.6,3.9,4.3,2.83333333333333,4.83333333333333,4.33333333333333,1.08333333333333,4.16666666666667,4.7,1
"123","R_1DNAfxAP9xFLJmc",4,1,4,1,4,1,1,1,4,4,1,4,1,4,1,4,4,1,4,1,4,5,5,4,4,5,4,5,4,4,3,5,5,5,4,4,4,3,4,3,4,5,4,2,4,4,5,4,2,4,3,4,4,4,2,5,4,4,5,4,2,2,3,4,2,2,4,2,4,4,2,4,2,4,3,3,4,4,2,4,4,4,5,2,4,4,5,5,2,4,2,4,5,2,4,4,4,4,2,4,4,5,5,1,2,2,5,5,2,5,4,5,5,1,4,4,5,4,2,4,4,5,5,1,4,5,5,5,2,4,4,5,5,1,5,4,5,5,2,5,2,2,1,2,2,2,2,2,4,5,4,4,4,2,4,5,5,4,5,4,5,5,4,5,4,3,4,5,5,4,4,5,5,5,5,3,4,4,4,4,6,1,1,45,5,0,1.75,2,4.25,3.75,4.5,4.75,4,4.5,4.5,4,3.6,2.9,3.9,3.9,4.1,3.8,3.75,4.75,4.83333333333333,1.66666666666667,4.08333333333333,4,1
"126","R_1OOfUNpRWj9h5cE",4,1,2,1,1,1,1,1,1,2,2,2,1,1,4,4,4,4,4,1,5,4,1,2,2,5,4,2,2,2,5,2,5,5,5,1,4,4,5,5,4,1,2,4,5,5,1,2,4,5,5,1,1,1,5,2,4,2,2,1,4,5,4,4,1,1,1,5,4,1,5,2,5,5,5,5,5,1,4,1,1,2,5,4,4,2,5,1,5,4,2,2,4,4,2,1,4,5,4,5,1,5,5,4,2,1,1,2,5,4,1,2,5,4,5,2,2,2,1,1,2,2,4,4,4,1,4,5,5,5,2,4,2,1,4,1,1,4,4,1,4,5,4,4,2,4,5,4,1,2,2,2,5,5,4,5,2,5,2,1,5,5,5,2,2,2,1,2,1,2,2,1,2,4,4,4,4,4,4,4,6,2,4,0,5,0,4.25,3.75,1.75,4.75,2.5,4.25,1.75,1.5,3.5,4,3.8,3.6,1.4,2.7,3.4,4.6,1.41666666666667,2.83333333333333,3.66666666666667,3.75,3.41666666666667,2.5,1.7
"128","R_1mV5E3TYBFcYyHA",4,1,2,1,5,1,1,1,3,4,2,4,1,4,3,5,5,1,5,1,5,5,4,4,2,5,5,5,5,5,4,5,5,5,5,4,3,4,4,4,5,5,4,5,4,5,4,5,4,4,5,5,4,3,3,5,4,3,4,4,3,5,4,5,1,5,5,4,3,1,4,5,2,4,5,5,5,3,4,5,5,5,4,2,4,2,4,5,2,5,5,5,4,1,4,4,5,3,2,5,2,5,5,2,5,5,5,4,2,5,5,5,4,3,5,4,4,4,1,5,4,5,5,2,5,4,5,5,2,5,4,5,5,1,5,4,4,4,1,4,1,1,2,1,2,4,2,1,4,4,5,4,5,5,4,5,5,5,5,4,3,4,3,4,4,4,5,4,4,5,4,3,4,5,5,5,5,4,5,4,6,1,1,42,5,0,1.25,2.25,4.25,4.75,4.75,3.5,4.25,4,4.75,4.5,4.6,3.4,4.3,4.1,4.3,4.4,4,4.75,4.33333333333333,1.75,4.75,4.1,1.3
"130","R_2aS2kbLznWzoJGW",4,3,2,3,3,2,2,1,2,2,4,4,2,1,3,3,4,3,3,2,5,2,3,3,3,4,5,3,4,4,4,1,4,4,3,2,2,5,5,2,4,3,2,5,5,3,3,3,2,5,5,3,3,3,4,1,3,4,4,3,2,3,5,3,3,2,3,5,5,4,3,2,4,5,5,3,3,3,3,1,2,3,2,3,5,3,4,3,4,5,2,3,3,4,3,2,4,3,3,5,2,4,2,3,5,2,3,3,3,5,1,3,2,4,5,3,3,3,3,4,2,2,3,3,4,2,3,3,4,4,2,4,3,4,5,1,3,3,2,3,3,4,3,2,4,4,3,4,3,4,3,4,4,4,4,4,2,2,3,3,2,2,2,2,2,3,3,2,2,3,2,2,4,5,3,5,5,5,4,5,6,1,2,0,5,0,3,3.75,3.5,4,2.5,2,2.5,2.25,4.25,4.75,3.5,2.9,2.8,3.3,3.1,4.7,2,3.25,2.75,3.33333333333333,4.41666666666667,2.8,2.5
